Maine Senate - District 1,,,,Maine House of Representatives - District 1,,
,,,,D,Kathy Shaw,Answers
,,,,,,
,,,,Maine House of Representatives - District 89,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Adam R. Lee,Answers
,,,,U,Benjamin J Weisner,No response
,,,,,,
,,,,Maine House of Representatives - District 90,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,Laurel Libby,No response
,,,,D,Thomas Fogarty,No response
,,,,,,
,,,,Maine House of Representatives - District 91,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Hildie Lipson,Answers
,,,,R,Joshua Morris,No response
,,,,,,
,,,,Maine House of Representatives - District 92,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,Stephen J. Wood,No response
,,,,,,
,,,,Maine House of Representatives - District 93,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Margaret M Craven,Answers
,,,,R,Robert McCarthy,No response
,,,,,,
,,,,Maine House of Representatives - District 94,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,Janet Beaudoin,No response
,,,,D,Kristen Sarah Cloutier,Answers
,,,,,,
,,,,Maine House of Representatives - District 95,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Mana Hared Abdi,No response
,,,,,,
,,,,Maine House of Representatives - District 96,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,Jon Connor,No response
,,,,D,Michel A Lajoie,No response
,,,,,,
,,,,Maine House of Representatives - District 97,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,Richard G Mason,No response
,,,,D,Scott Newman Gaiason,No response
,,,,,,
,,,,Maine House of Representatives - District 98,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,Joseph C. Galletta,No response
,,,,D,Orion Evenstar Breen,No response
,,,,,,
,,,,Maine House of Representatives - District 99,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Cheryl Golek,Answers
,,,,R,Stephen Davis,No response
,,,,,,
,,,,Maine House of Representatives - District 100,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Daniel Ankeles,Answers
,,,,,,
,,,,Maine House of Representatives - District 101,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Poppy Arford,Answers
,,,,R,Ravi Jackson,No response
,,,,,,
,,,,Maine House of Representatives - District 102,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,James J. Finegan Jr.,No response
,,,,D,Melanie F. Sachs,Answers
,,,,,,
,,,,Maine House of Representatives - District 103,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Art Bell,Answers
,,,,,,
,,,,Maine House of Representatives - District 104,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,Amy B. Arata,No response
,,,,U,Anne Gass,Answers
,,,,,,
,,,,Maine House of Representatives - District 105,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Anne Graham,Answers
,,,,R,David Lawrence Reed,Answers
,,,,,,
,,,,Maine House of Representatives - District 106,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,Barbara Bagshaw,No response
,,,,D,Dana Clifford Reed,No response
,,,,,,
,,,,Maine House of Representatives - District 107,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Jane Pearson Pringle,No response
,,,,R,Michael Hall,No response
,,,,,,
