,Party,Polarization,Unanimity,Yes polarization,Republican yes votes,Republican no votes,Democratic yes votes,Democratic no votes,Republican yes,Democratic yes,Party polarization,Title,title_w_breaks,Date,Session,Key,Democratic votes yes/no,Republican votes yes/no
1504,Democratic,-0.9712096106048054,0.9859154929577465,-0.9712096106048054,1,67,70,1,0.014705882352941176,0.9859154929577465,-0.9712096106048054,"An Act To Improve Public Safety Through Expanded Department Of Corrections Treatment, Education And Vocational Programs","An Act To Improve Public<br>Safety Through Expanded<br>Department Of Corrections<br>Treatment, Education And<br>Vocational Programs",2018-03-20,128,0187bac9-7980-4c87-b9ac-c0cb3d907dc5,70/1,1/67
1896,Democratic,-0.9714285714285714,1.0,-0.9714285714285714,2,68,70,0,0.02857142857142857,1.0,-0.9714285714285714,An Act To Prioritize Use Of Available Resources In General Assistance Programs,An Act To Prioritize Use Of<br>Available Resources In General<br>Assistance Programs,2017-06-07,128,84c2dc80-a4fb-40a3-bbbb-26f9ca32ecc9,70/0,2/68
720,Democratic,-0.9221153846153847,0.9846153846153847,-0.9221153846153847,4,60,64,1,0.0625,0.9846153846153847,-0.9221153846153847,An Act To Support The Professional Development Of Principals In Maine Schools,An Act To Support The<br>Professional Development Of<br>Principals In Maine Schools,2017-08-02,128,8d0656a5-8008-4af4-8f5c-c45ad92e6c4f,64/1,4/60
1780,Democratic,-0.9714285714285714,1.0,-0.9714285714285714,2,68,67,0,0.02857142857142857,1.0,-0.9714285714285714,An Act To Align Time Limits In The Municipal General Assistance Program And Temporary Assistance For Needy Families Program,An Act To Align Time Limits In<br>The Municipal General<br>Assistance Program And<br>Temporary Assistance For Needy<br>Families Program,2017-06-07,128,9df012c7-ef2e-4a41-b2c0-c4ee9b47f3ca,67/0,2/68
1020,Democratic,-0.9230769230769231,1.0,-0.9230769230769231,5,60,65,0,0.07692307692307693,1.0,-0.9230769230769231,An Act To Establish A Mattress Stewardship Program,An Act To Establish A Mattress<br>Stewardship Program,2017-05-31,128,c7005141-b211-45b9-97b5-537de84d7c22,65/0,5/60
1934,Democratic,-0.8888888888888888,1.0,-0.8888888888888888,6,48,62,0,0.1111111111111111,1.0,-0.8888888888888888,An Act To Repeal The Legalization Of Recreational Marijuana,An Act To Repeal The<br>Legalization Of Recreational<br>Marijuana,2018-06-26,128,862209b8-38a9-4bf5-a218-a4e41d2cf946,62/0,6/48
1006,Democratic,-0.8888888888888888,1.0,-0.8888888888888888,2,16,15,0,0.1111111111111111,1.0,-0.8888888888888888,An Act To Ensure Patient Protections In The Health Insurance Laws,An Act To Ensure Patient<br>Protections In The Health<br>Insurance Laws,2018-04-09,128,65a44493-f552-4412-b62c-167cc3222989,15/0,2/16
1014,Democratic,-0.8524374176548088,0.9130434782608695,-0.8524374176548088,4,62,63,6,0.06060606060606061,0.9130434782608695,-0.8524374176548088,"Resolution, Proposing An Amendment To Article X Of The Constitution Of Maine Regarding The Publication Of Maine Indian Treaty Obligations","Resolution, Proposing An<br>Amendment To Article X Of The<br>Constitution Of Maine<br>Regarding The Publication Of<br>Maine Indian Treaty<br>Obligations",2017-06-12,128,ca6960de-876e-4bfe-8309-5ac1101ec254,63/6,4/62
824,Democratic,-0.8529411764705882,1.0,-0.8529411764705882,10,58,71,0,0.14705882352941177,1.0,-0.8529411764705882,"An Act To Attract, Educate And Retain New Mainers To Strengthen The Workforce","An Act To Attract, Educate And<br>Retain New Mainers To<br>Strengthen The Workforce",2018-03-20,128,cea0913c-b811-4bec-b9bd-cbbdabb0737a,71/0,10/58
1882,Democratic,-0.8529411764705882,1.0,-0.8529411764705882,10,58,72,0,0.14705882352941177,1.0,-0.8529411764705882,An Act To Amend The Laws Governing Eluding An Officer,An Act To Amend The Laws<br>Governing Eluding An Officer,2017-06-19,128,9b393f61-55b7-4e7f-bc82-4883d2e0a7dc,72/0,10/58
