Vote key,Vote polarization,Democratic yes votes,Democratic no votes,Republican yes votes,Republican no votes,Title,Date,Session
a4631782-477c-4b06-8aa4-9347fde724fa,-1.0,21,0,0,13,An Act To Amend The Laws Governing Unemployment Compensation,2021-06-14,130
6d15b554-2cb6-495d-90a1-ec1bfb987bdc,-1.0,22,0,0,13,An Act To Restore Short-Term Health Insurance,2021-04-28,130
4d2a3951-0d75-4469-946e-f875d33cded5,-1.0,73,0,0,57,An Act To Exempt Nonprofit Agricultural Membership Organizations From Insurance Requirements,2022-03-24,130
c4acbfdc-73c8-4de3-911c-b3e9cdc3eb54,-1.0,22,0,0,13,An Act Regarding The Board Of Occupational Safety And Health,2021-04-28,130
477cde0f-2128-41e7-a93d-0538bca7ce0d,-1.0,22,0,0,13,An Act To Strengthen The Ability Of Public Employers And Unions To Negotiate,2021-06-14,130
5b7885aa-0bd8-41a0-aef1-c62e669640fd,-1.0,22,0,0,13,An Act To Increase Protections For Option Contracts For The Purchase Of Real Property Or Rent-To-Own Real Property,2021-06-17,130
8ff16e44-5fde-4665-86b9-6c0033027011,-1.0,21,0,0,13,An Act To Update The Maine Parentage Act,2021-06-02,130
1efad4eb-f582-47ec-86e7-40c67a7f23d0,-0.9620253164556962,76,3,0,54,An Act To Encourage Charitable Giving,2021-06-02,130
29df9f2b-f763-4c58-a4ca-c8407bca03f3,-0.9707936507936508,74,1,1,62,An Act To Address Funding For Maine Clean Elections,2021-06-08,130
3fa6a217-1e3f-402f-aade-c9bb1b29ca72,-0.969771607702642,76,1,1,57,An Act Regarding The Parental Right To Direct The Health Care Of Children,2021-06-16,130
edef5ac0-bf16-4267-a99e-71b44b8d98c2,-0.9666048237476808,76,1,1,48,An Act To Increase High School Graduation Rates For Students Experiencing Education Disruption,2021-06-14,130
d8fb35fa-f545-416b-8ed0-504163bcf725,-0.9707051684452814,80,1,1,58,An Act To Maintain The Integrity Of The Individual And Small Group Health Insurance Markets,2021-04-28,130
360c8983-b858-47db-9074-d5c6b6051ef2,-1.0,22,0,0,12,An Act To Amend The Laws Governing Retirement Benefit Reductions For Corrections Officers Currently Included In The 1998 Special Plan,2021-05-19,130
