,Party,Polarization,Unanimity,Yes polarization,Republican yes votes,Republican no votes,Democratic yes votes,Democratic no votes,Republican yes,Democratic yes,Party polarization,Title,title_w_breaks,Date,Session,Key,Democratic votes yes/no,Republican votes yes/no
2080,Democratic,-1.0,1.0,-1.0,0,12,22,0,0.0,1.0,-1.0,An Act To Create The Maine Rental Assistance And Voucher Guarantee Program,An Act To Create The Maine<br>Rental Assistance And Voucher<br>Guarantee Program,2021-06-10,130,ca97fefe-88bf-400c-9f44-647733a7433a,22/0,0/12
2560,Democratic,-1.0,1.0,-1.0,0,11,21,0,0.0,1.0,-1.0,"Resolve, To Direct The Permanent Commission On The Status Of Racial, Indigenous And Maine Tribal Populations To Study And Propose Solutions To Disparities In Access To Prenatal Care In The State","Resolve, To Direct The<br>Permanent Commission On The<br>Status Of Racial, Indigenous<br>And Maine Tribal Populations<br>To Study And Propose Solutions<br>To Disparities In Access To<br>Prenatal Care In The State",2021-06-08,130,e584b89e-c607-4309-abe1-88b3a1012efd,21/0,0/11
2450,Democratic,-1.0,1.0,-1.0,0,52,67,0,0.0,1.0,-1.0,An Act To Ensure Safety Across Maine's Construction Industry,An Act To Ensure Safety Across<br>Maine's Construction Industry,2021-07-01,130,c549a6fe-ce2d-4b0c-a818-2543e7b93ff8,67/0,0/52
2038,Democratic,-1.0,1.0,-1.0,0,13,21,0,0.0,1.0,-1.0,An Act To Protect Teachers' Privacy While Delivering Remote Instruction,An Act To Protect Teachers'<br>Privacy While Delivering<br>Remote Instruction,2021-06-15,130,060da750-a6dd-4375-bd8d-cc5ce4e10357,21/0,0/13
2078,Democratic,-1.0,1.0,-1.0,0,13,21,0,0.0,1.0,-1.0,An Act To Create A Voter Identification System,An Act To Create A Voter<br>Identification System,2021-06-08,130,c57e7e1a-3b12-4bf0-a412-3387d376a51b,21/0,0/13
2600,Democratic,-1.0,1.0,-1.0,0,12,22,0,0.0,1.0,-1.0,An Act To Update The Voter Registration Process,An Act To Update The Voter<br>Registration Process,2021-06-10,130,8e793166-d8ec-4b7f-bf9f-dfadab59dba4,22/0,0/12
2250,Democratic,-1.0,1.0,-1.0,0,12,22,0,0.0,1.0,-1.0,An Act To Revise Reporting Requirements For Maine Clean Election Act Expenditures,An Act To Revise Reporting<br>Requirements For Maine Clean<br>Election Act Expenditures,2021-06-08,130,70e14737-462b-40e6-8013-25f83181e200,22/0,0/12
2912,Democratic,-1.0,1.0,-1.0,0,12,22,0,0.0,1.0,-1.0,An Act To Improve Maine's Election Laws,An Act To Improve Maine's<br>Election Laws,2021-06-09,130,da0e010b-0b4a-4fb6-b7a0-b1a7dfef9f30,22/0,0/12
2646,Democratic,-1.0,1.0,-1.0,0,13,21,0,0.0,1.0,-1.0,An Act Regarding The Governor's Emergency Powers,An Act Regarding The<br>Governor's Emergency Powers,2021-06-03,130,371a56ee-8922-4521-95e0-03a19a1580b6,21/0,0/13
2520,Democratic,-1.0,1.0,-1.0,0,12,20,0,0.0,1.0,-1.0,An Act To Help Alleviate Maine's Housing Shortage And Change The Membership Of The Maine State Housing Authority,An Act To Help Alleviate<br>Maine's Housing Shortage And<br>Change The Membership Of The<br>Maine State Housing Authority,2022-04-05,130,cf296d5e-3d92-4815-90c7-c88bc48cbf56,20/0,0/12
2036,Democratic,-1.0,1.0,-1.0,0,13,21,0,0.0,1.0,-1.0,An Act To Provide Allocations For The Distribution Of State Fiscal Recovery Funds,An Act To Provide Allocations<br>For The Distribution Of State<br>Fiscal Recovery Funds,2021-07-19,130,487246cc-951b-47f3-ad00-a13c8eecf7f6,21/0,0/13
2910,Democratic,-1.0,1.0,-1.0,0,13,21,0,0.0,1.0,-1.0,An Act To Expand Tenant Representation On Boards Of Directors Of Nonprofit Housing Organizations,An Act To Expand Tenant<br>Representation On Boards Of<br>Directors Of Nonprofit Housing<br>Organizations,2021-06-15,130,327e5d82-60ec-48fd-aef1-e3ae30376e68,21/0,0/13
2158,Democratic,-1.0,1.0,-1.0,0,13,22,0,0.0,1.0,-1.0,An Act To Provide Funding For Maine's Health Insurance Consumer Assistance Program,An Act To Provide Funding For<br>Maine's Health Insurance<br>Consumer Assistance Program,2021-04-28,130,b55df2fc-52ca-4849-86aa-89524e9672f6,22/0,0/13
2380,Democratic,-1.0,1.0,-1.0,0,50,72,0,0.0,1.0,-1.0,An Act To Improve Labor Laws For Workers In Maine,An Act To Improve Labor Laws<br>For Workers In Maine,2022-04-05,130,6ae6af2f-5b3e-4333-b0a9-c4eba6ddd24f,72/0,0/50
2524,Democratic,-1.0,1.0,-1.0,0,13,22,0,0.0,1.0,-1.0,An Act To Reestablish The State Planning Office,An Act To Reestablish The<br>State Planning Office,2021-06-16,130,87856943-27a0-413a-b678-a7fcfcd8ad50,22/0,0/13
2026,Democratic,-1.0,1.0,-1.0,0,11,21,0,0.0,1.0,-1.0,An Act To Discontinue The Use Of The Sat In Maine Schools,An Act To Discontinue The Use<br>Of The Sat In Maine Schools,2021-07-01,130,04573862-808f-4543-9be9-85b86ed6cc43,21/0,0/11
2486,Democratic,-1.0,1.0,-1.0,0,13,21,0,0.0,1.0,-1.0,An Act To Prohibit The Unequal Restriction Of Essential Businesses During A State Of Civil Emergency,An Act To Prohibit The Unequal<br>Restriction Of Essential<br>Businesses During A State Of<br>Civil Emergency,2021-06-03,130,f2360dd5-3ab1-4c5d-88ef-c2b58afff920,21/0,0/13
2064,Democratic,-1.0,1.0,-1.0,0,13,21,0,0.0,1.0,-1.0,An Act To Protect Small Employers By Prohibiting Municipalities From Adopting Ordinances Regarding Employee Work Benefits Other Than Ordinances Regarding Minimum Wage Rates,An Act To Protect Small<br>Employers By Prohibiting<br>Municipalities From Adopting<br>Ordinances Regarding Employee<br>Work Benefits Other Than<br>Ordinances Regarding Minimum<br>Wage Rates,2021-06-03,130,548e1cad-c015-49c5-8dfa-6d7d1070d35a,21/0,0/13
